procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 31562808 229516 31098372    0    0    54     4   74   62  6  0 94  0  0
 2  0      0 31539872 229516 31098384    0    0     0     0 3924 4718  7  0 93  0  0
 2  0      0 31535272 229516 31098388    0    0     0     0 3742 4506  6  0 94  0  0
 1  0      0 31526072 229516 31098392    0    0     0     0 3734 4424  6  0 94  0  0
 1  0      0 31524056 229520 31098404    0    0     0   356 3779 5983  7  0 93  0  0
 1  0      0 31519708 229536 31098424    0    0     0    76 3822 4863  6  0 94  0  0
 1  0      0 31515360 229536 31098440    0    0     0     0 3784 5613  7  0 93  0  0
 2  0      0 31506160 229536 31098444    0    0     0     0 3525 5035  6  0 94  0  0
 1  0      0 31506160 229536 31098448    0    0     0     0 3624 4549  6  0 93  0  0
 1  0      0 31506160 229536 31098452    0    0     0     0 3675 4634  6  0 93  0  0
 1  0      0 31497212 229544 31098472    0    0     0    96 3664 4820  7  0 94  0  0
 1  0      0 31492108 229552 31098480    0    0     0    20 3703 4828  6  0 94  0  0
 1  0      0 31215660 229552 31098488    0    0     0     0 3828 9615  7  0 93  0  0
 1  0      0 31215660 229552 31098492    0    0     0    44 4024 25457  6  0 93  0  0
 1  0      0 31203372 229552 31098496    0    0     0     0 4997 48068  7  1 93  0  0
 2  0      0 31159388 229560 31098528    0    0     0    12 3889 5502  9  0 91  0  0
 1  0      0 31149936 229560 31098532    0    0     0    68 3974 6259 11  0 89  0  0
 1  0      0 31138972 229560 31098536    0    0     0     0 3610 4649  6  0 94  0  0
 1  0      0 31138972 229560 31098540    0    0     0     0 3460 4522  6  0 94  0  0
 2  0      0 31130024 229568 31098540    0    0     0    20 3700 4980  8  0 92  0  0
 1  0      0 31118808 229576 31098608    0    0     0    28 3702 4948 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 31109104 229576 31098620    0    0     0     0 3764 4574  6  0 94  0  0
 1  0      0 31107340 229576 31098624    0    0     0   120 3865 4681  7  0 93  0  0
 1  0      0 31090704 229576 31098632    0    0     0     0 3708 5033  8  0 91  0  0
 1  0      0 31075168 229584 31098632    0    0     0    28 4347 61246 10  1 89  0  0
 1  0      0 31065968 229592 31098680    0    0     0    20 3730 4433  6  0 94  0  0
 1  0      0 31065716 229592 31098692    0    0     0     0 3740 4564  7  0 93  0  0
 2  0      0 31063700 229592 31098696    0    0     0     0 3952 5109  9  0 91  0  0
 1  0      0 31046056 229600 31098700    0    0     0    80 3837 5373  7  0 93  0  0
 3  0      0 30990036 229600 31098708    0    0     0    28 3952 5841  7  0 93  0  0
 1  0      0 30980080 229608 31098700    0    0     0    76 4130 17842 11  0 89  0  0
 1  0      0 30966028 229608 31098716    0    0     0     0 3921 5461  9  0 91  0  0
